application_id,customer_id,application_date,channel,customer_segment,age_group,employment_status,annual_income,monthly_expenses,existing_loans,requested_amount,loan_term_months,debt_to_income_ratio,credit_history_length,previous_defaults,documents_complete,verification_errors,manual_review,processing_time_hours,decision,decision_reason,application_status,annual_income_imputed
APP-006580,CUST-006580,2025-09-09,branch,retail_mass,46-55,employed,56259.81,1778.8,3,55733.38,48,0.228,27.3,0,True,1,False,24.7,approved,clean credit history,completed,False
APP-004509,CUST-004509,2026-06-11,broker,retail_mass,26-35,employed,20525.36,829.66,0,14853.62,36,0.23,6.0,0,True,0,False,14.0,approved,stable income relative to requested amount,completed,False
APP-011148,CUST-011148,2026-04-08,branch,self_employed,36-45,self_employed,14764.67,511.25,0,25084.39,60,0.199,17.0,0,True,0,False,19.5,approved,acceptable debt-to-income ratio,completed,False
APP-010051,CUST-010051,2025-11-28,branch,retail_mass,56-65,self_employed,27310.78,1416.29,0,21476.46,24,0.279,10.0,0,True,2,False,34.6,approved,clean credit history,completed,False
APP-018595,CUST-018595,2026-05-24,branch,small_business,26-35,self_employed,121617.79,5553.78,3,191688.93,120,0.264,6.1,0,True,0,False,19.3,approved,stable income relative to requested amount,completed,False
APP-010445,CUST-010445,2025-02-22,mobile_app,retail_mass,36-45,employed,38941.62,1380.49,1,33028.69,48,0.152,7.7,0,False,2,False,50.7,approved,stable income relative to requested amount,completed,False
APP-003115,CUST-003115,2025-09-28,broker,retail_affluent,56-65,employed,59921.5,2956.05,0,99292.29,84,0.286,34.6,0,True,0,False,20.6,approved,stable income relative to requested amount,completed,False
APP-017944,CUST-017944,2026-06-10,online,retail_affluent,36-45,employed,34887.49,2305.59,0,44108.94,48,0.301,9.1,0,True,1,False,21.6,approved,acceptable debt-to-income ratio,completed,False
APP-012387,CUST-012387,2025-09-21,branch,small_business,26-35,self_employed,24116.4,1620.07,0,43111.88,84,0.371,5.3,0,True,0,False,15.5,approved,clean credit history,completed,False
APP-014173,CUST-014173,2026-02-10,online,self_employed,46-55,self_employed,67082.44,4541.44,0,50004.1,84,0.307,22.4,0,True,0,False,15.4,approved,stable income relative to requested amount,completed,False
APP-006271,CUST-006271,2026-02-19,phone,retail_affluent,26-35,employed,135146.89,4331.04,0,145391.46,84,0.175,0.8,0,True,0,False,14.6,approved,acceptable debt-to-income ratio,completed,False
APP-014420,CUST-014420,2025-11-09,broker,retail_mass,56-65,employed,28190.69,1233.46,0,17332.85,36,0.221,30.1,0,True,0,False,20.5,approved,acceptable debt-to-income ratio,completed,False
APP-003230,CUST-003230,2026-04-04,mobile_app,retail_mass,65+,self_employed,39377.55,1774.07,1,43287.85,48,0.246,23.4,0,True,1,False,26.1,approved,acceptable debt-to-income ratio,completed,False
APP-009838,CUST-009838,2025-02-23,mobile_app,retail_affluent,36-45,employed,61181.11,4040.76,0,112799.35,60,0.309,7.5,0,True,0,False,16.0,approved,acceptable debt-to-income ratio,completed,False
APP-015502,CUST-015502,2026-03-10,mobile_app,small_business,65+,employed,52133.44,2972.3,0,97784.74,120,0.278,0.6,0,True,0,False,12.2,approved,clean credit history,completed,False
APP-007284,CUST-007284,2025-03-02,broker,retail_affluent,56-65,retired,44784.41,2915.43,1,55531.62,84,0.386,9.1,0,True,0,False,25.8,approved,clean credit history,completed,False
APP-004852,CUST-004852,2025-02-26,branch,retail_affluent,46-55,employed,41169.87,1974.31,0,41741.47,60,0.201,3.2,0,True,0,False,13.1,approved,clean credit history,completed,False
APP-013219,CUST-013219,2025-01-04,online,self_employed,36-45,self_employed,24986.73,1111.9,0,43068.42,48,0.27,6.2,0,True,0,False,15.9,approved,acceptable debt-to-income ratio,completed,False
APP-013426,CUST-013426,2025-02-11,online,retail_mass,46-55,employed,54124.86,2577.77,0,55195.34,84,0.236,19.1,0,True,0,False,18.1,approved,clean credit history,completed,False
APP-009704,CUST-009704,2025-02-08,mobile_app,retail_mass,36-45,employed,43243.86,1623.69,0,43007.72,48,0.158,13.3,0,True,1,False,23.7,approved,stable income relative to requested amount,completed,False
APP-010128,CUST-010128,2025-04-24,online,retail_mass,26-35,employed,26174.88,777.83,0,23622.98,84,0.161,0.7,0,True,0,False,13.7,approved,acceptable debt-to-income ratio,completed,False
APP-013835,CUST-013835,2025-12-22,mobile_app,retail_mass,46-55,unemployed,10020.06,676.39,0,8214.61,24,0.354,30.2,0,True,0,False,22.2,approved,stable income relative to requested amount,completed,False
APP-009419,CUST-009419,2025-07-07,broker,self_employed,18-25,self_employed,16317.91,1113.61,1,10233.16,48,0.483,1.4,0,True,0,False,20.2,approved,acceptable debt-to-income ratio,completed,False
APP-006925,CUST-006925,2025-01-02,phone,retail_mass,56-65,unknown,30883.7,2183.36,1,32207.73,24,0.332,6.5,0,True,0,False,24.8,approved,acceptable debt-to-income ratio,completed,False
APP-004153,CUST-004153,2026-06-17,online,retail_mass,26-35,employed,64256.62,2470.41,0,51897.57,84,0.135,6.3,0,True,0,True,89.2,approved,stable income relative to requested amount,completed,False
APP-013150,CUST-013150,2025-05-03,online,self_employed,36-45,self_employed,28333.34,1622.32,1,16339.13,48,0.348,9.8,0,True,0,False,19.9,approved,clean credit history,completed,False
APP-009520,CUST-009520,2025-06-24,online,retail_mass,26-35,employed,36187.37,1441.0,1,36612.04,84,0.255,10.5,0,True,1,False,24.7,approved,clean credit history,completed,False
APP-009658,CUST-009658,2026-03-03,online,self_employed,46-55,unemployed,17797.61,1255.18,1,29285.34,36,0.44,8.1,1,True,0,False,18.5,rejected,debt-to-income ratio above acceptable threshold,completed,False
APP-017201,CUST-017201,2025-10-19,branch,retail_affluent,56-65,employed,144033.01,7954.32,1,116020.67,84,0.278,33.5,0,True,0,False,16.4,approved,stable income relative to requested amount,completed,False
APP-003352,CUST-003352,2025-02-25,branch,retail_mass,26-35,employed,47637.4,2891.14,0,44912.03,48,0.294,6.6,0,True,0,False,20.2,approved,clean credit history,completed,True
APP-002480,CUST-002480,2025-12-21,broker,retail_mass,46-55,employed,36670.0,2039.0,1,27836.65,48,0.363,3.4,0,True,0,False,19.8,approved,acceptable debt-to-income ratio,completed,False
APP-010052,CUST-010052,2026-03-06,broker,retail_mass,56-65,self_employed,10178.11,626.74,0,11887.69,48,0.332,26.0,0,False,4,True,141.1,approved,acceptable debt-to-income ratio,completed,False
APP-017629,CUST-017629,2026-06-02,online,retail_affluent,56-65,retired,45520.45,1657.01,0,90279.86,60,0.176,27.3,0,True,0,False,26.6,approved,stable income relative to requested amount,completed,False
APP-010459,CUST-010459,2025-05-08,broker,self_employed,65+,employed,20032.0,814.23,1,33147.06,60,0.312,6.4,0,True,0,False,21.7,approved,acceptable debt-to-income ratio,completed,False
APP-013088,CUST-013088,2025-12-30,branch,retail_mass,56-65,employed,37035.37,2586.2,0,33172.04,60,0.352,7.3,0,True,1,False,32.0,approved,stable income relative to requested amount,completed,False
APP-001512,CUST-001512,2026-02-09,mobile_app,retail_affluent,65+,retired,53237.55,2292.15,0,57774.69,84,0.212,44.7,0,True,0,False,22.0,approved,acceptable debt-to-income ratio,completed,False
APP-001805,CUST-001805,2025-01-23,branch,retail_mass,65+,retired,22120.87,1021.44,3,16616.6,48,0.486,37.4,0,False,4,True,110.0,,customer withdrew before a decision was reached,withdrawn,False
APP-005203,CUST-005203,2025-12-30,branch,self_employed,46-55,self_employed,92709.59,5134.39,2,85248.12,48,0.326,30.0,0,True,0,False,19.8,approved,stable income relative to requested amount,completed,False
APP-001027,CUST-001027,2025-06-01,broker,retail_mass,56-65,self_employed,65661.23,4311.38,0,33821.91,48,0.32,3.8,0,True,0,False,9.0,approved,clean credit history,completed,False
APP-019656,CUST-019656,2026-04-04,branch,retail_affluent,65+,retired,23908.17,994.71,1,18069.62,48,0.323,43.5,0,True,0,False,12.8,approved,clean credit history,completed,False
APP-010907,CUST-010907,2025-04-04,broker,retail_mass,46-55,unknown,48181.82,2724.15,0,45082.96,60,0.257,7.4,0,True,0,False,16.6,approved,acceptable debt-to-income ratio,completed,False
APP-013191,CUST-013191,2025-07-08,online,retail_mass,18-25,employed,86261.07,5379.99,1,93288.9,60,0.371,2.0,0,False,1,True,66.8,approved,acceptable debt-to-income ratio,completed,False
APP-015983,CUST-015983,2026-05-30,mobile_app,small_business,56-65,self_employed,30943.84,1675.04,0,67305.64,24,0.257,26.2,0,True,0,False,21.2,approved,clean credit history,completed,False
APP-001580,CUST-001580,2025-06-10,mobile_app,retail_mass,26-35,employed,72856.93,2713.55,0,78189.85,120,0.174,5.8,0,True,0,False,23.1,approved,stable income relative to requested amount,completed,False
APP-007779,CUST-007779,2025-05-18,online,retail_affluent,56-65,employed,38804.48,2743.76,0,30510.58,36,0.333,17.9,0,True,0,False,22.3,approved,acceptable debt-to-income ratio,completed,False
APP-019160,CUST-019160,2025-05-05,mobile_app,retail_mass,36-45,employed,69536.67,3645.74,1,70888.67,36,0.247,9.9,0,True,1,True,54.9,approved,stable income relative to requested amount,completed,False
APP-011165,CUST-011165,2025-06-25,mobile_app,retail_affluent,56-65,employed,121043.39,7371.95,2,220300.42,84,0.265,34.3,0,True,0,True,77.7,,customer withdrew before a decision was reached,withdrawn,False
APP-010247,CUST-010247,2025-10-29,mobile_app,self_employed,56-65,self_employed,42044.87,2146.69,1,74578.77,48,0.306,15.0,0,False,2,True,129.2,approved,acceptable debt-to-income ratio,completed,False
APP-012900,CUST-012900,2025-03-01,online,retail_affluent,46-55,employed,94427.13,3569.02,2,78277.02,60,0.23,8.1,0,True,1,False,25.7,approved,acceptable debt-to-income ratio,completed,False
APP-000351,CUST-000351,2025-01-23,mobile_app,retail_mass,46-55,employed,40337.37,2608.92,1,22872.88,48,0.324,2.4,0,True,0,False,20.9,rejected,income insufficient relative to requested amount,completed,False
APP-002112,CUST-002112,2026-05-14,branch,retail_mass,36-45,employed,42962.59,1408.33,0,28833.91,36,0.147,1.7,0,True,0,False,11.8,approved,acceptable debt-to-income ratio,completed,False
APP-015759,CUST-015759,2026-06-01,phone,retail_mass,46-55,unemployed,15809.21,827.59,0,16013.16,24,0.265,27.7,0,True,1,False,42.6,approved,acceptable debt-to-income ratio,completed,False
APP-011385,CUST-011385,2025-10-18,online,self_employed,65+,retired,21726.36,900.46,1,25084.32,48,0.268,2.9,1,True,0,False,18.4,approved,clean credit history,completed,False
APP-002034,CUST-002034,2026-06-22,online,retail_affluent,36-45,employed,56482.43,2943.87,0,95031.05,60,0.237,15.8,0,True,0,False,16.8,approved,acceptable debt-to-income ratio,completed,False
APP-019801,CUST-019801,2025-05-02,online,retail_mass,46-55,employed,31005.13,1952.63,1,10205.56,36,0.34,27.0,0,True,1,False,13.9,approved,clean credit history,completed,False
APP-006920,CUST-006920,2025-05-19,online,retail_mass,18-25,unemployed,20643.32,1093.45,0,22801.06,48,0.238,0.2,2,True,1,False,28.2,approved,acceptable debt-to-income ratio,completed,False
APP-018936,CUST-018936,2026-05-21,online,retail_mass,46-55,employed,48081.12,2791.59,0,49878.87,60,0.307,4.3,0,False,3,True,89.9,approved,clean credit history,completed,False
APP-018051,CUST-018051,2025-10-12,online,retail_affluent,18-25,employed,81127.47,3516.43,0,71827.75,120,0.243,3.0,0,True,1,True,65.7,approved,stable income relative to requested amount,completed,False
APP-012385,CUST-012385,2025-04-15,online,retail_mass,26-35,employed,43869.72,2345.69,0,23135.14,48,0.296,5.0,0,True,0,True,87.8,approved,clean credit history,completed,False
APP-017504,CUST-017504,2026-03-14,mobile_app,retail_mass,46-55,employed,47637.4,1740.21,0,35999.94,36,0.152,12.3,0,True,0,False,8.5,approved,clean credit history,completed,True
APP-009075,CUST-009075,2026-04-17,online,retail_mass,56-65,employed,44975.17,2678.12,0,23556.99,24,0.363,19.9,0,False,4,False,55.1,approved,acceptable debt-to-income ratio,completed,False
APP-004618,CUST-004618,2025-12-11,mobile_app,retail_mass,26-35,employed,93770.85,5645.51,3,34415.15,24,0.353,0.8,0,True,3,False,43.1,approved,acceptable debt-to-income ratio,completed,False
APP-003062,CUST-003062,2025-07-27,mobile_app,retail_mass,46-55,employed,36701.42,2178.92,0,25809.74,12,0.274,2.3,0,True,0,False,21.8,approved,stable income relative to requested amount,completed,False
APP-009262,CUST-009262,2025-03-22,branch,small_business,46-55,self_employed,60712.91,4031.6,1,55917.91,36,0.327,20.1,0,False,3,False,54.2,approved,clean credit history,completed,False
APP-017212,CUST-017212,2026-06-11,mobile_app,retail_mass,46-55,employed,25349.8,1366.33,0,14277.01,60,0.233,23.1,0,False,0,False,18.8,approved,clean credit history,completed,False
APP-006384,CUST-006384,2025-05-13,mobile_app,self_employed,36-45,self_employed,28116.31,1344.92,0,46757.15,60,0.219,19.6,0,True,0,False,19.7,approved,stable income relative to requested amount,completed,False
APP-019206,CUST-019206,2026-06-20,broker,self_employed,36-45,self_employed,46055.62,2701.35,0,77910.4,120,0.304,11.7,0,False,1,True,109.9,approved,stable income relative to requested amount,completed,False
APP-010734,CUST-010734,2025-07-30,online,retail_affluent,26-35,employed,82454.16,5611.37,3,163066.65,60,0.394,1.3,0,True,0,False,24.9,approved,acceptable debt-to-income ratio,completed,False
APP-006932,CUST-006932,2025-02-06,online,self_employed,36-45,employed,35315.7,2186.17,2,33435.48,12,0.438,16.4,1,True,0,False,14.7,rejected,debt-to-income ratio above acceptable threshold,completed,False
APP-014854,CUST-014854,2025-10-21,broker,retail_affluent,65+,retired,43693.17,2609.23,1,49646.91,36,0.318,5.7,0,True,0,False,17.4,approved,stable income relative to requested amount,completed,False
APP-001489,CUST-001489,2025-10-03,branch,small_business,26-35,self_employed,59539.69,3281.51,2,72252.31,60,0.309,4.0,0,True,0,False,10.7,approved,stable income relative to requested amount,completed,False
APP-009398,CUST-009398,2026-04-30,broker,small_business,36-45,self_employed,40759.0,1509.11,2,104585.86,84,0.266,18.6,0,True,0,True,79.9,approved,acceptable debt-to-income ratio,completed,False
APP-005268,CUST-005268,2026-01-16,online,retail_affluent,36-45,employed,131536.62,3897.64,0,174575.47,120,0.123,5.9,0,False,0,False,38.0,approved,stable income relative to requested amount,completed,False
APP-017987,CUST-017987,2025-07-17,branch,small_business,46-55,self_employed,58922.75,3812.73,0,65039.64,120,0.309,4.4,0,True,0,False,15.9,approved,acceptable debt-to-income ratio,completed,False
APP-015111,CUST-015111,2026-05-16,online,retail_mass,36-45,self_employed,61956.84,2469.83,0,29803.31,12,0.258,11.3,0,False,3,True,136.4,approved,clean credit history,completed,False
APP-017644,CUST-017644,2026-02-18,broker,retail_mass,46-55,employed,62077.49,4253.98,1,20293.54,36,0.413,5.6,0,True,1,False,30.9,approved,acceptable debt-to-income ratio,completed,False
APP-016168,CUST-016168,2026-02-26,broker,retail_affluent,26-35,employed,47637.4,2229.57,2,39429.23,48,0.237,1.6,0,True,1,False,19.8,approved,clean credit history,completed,True
APP-017587,CUST-017587,2026-02-10,mobile_app,retail_mass,46-55,employed,45852.85,3160.96,0,42230.11,60,0.323,30.1,0,False,1,False,51.1,approved,acceptable debt-to-income ratio,completed,False
APP-001712,CUST-001712,2026-04-25,online,self_employed,46-55,self_employed,100652.98,6912.25,2,140139.24,36,0.354,32.0,0,True,0,True,73.1,approved,clean credit history,completed,False
APP-010803,CUST-010803,2025-04-19,branch,retail_affluent,56-65,employed,63248.54,2207.68,0,55050.47,120,0.185,7.4,0,True,0,False,14.9,approved,clean credit history,completed,False
APP-018255,CUST-018255,2025-11-28,broker,retail_mass,36-45,self_employed,58259.88,3112.12,2,27953.19,24,0.315,13.2,0,True,0,False,19.1,approved,acceptable debt-to-income ratio,completed,False
APP-006244,CUST-006244,2026-03-13,online,retail_mass,26-35,employed,64503.15,2504.74,0,66130.11,60,0.198,11.0,0,True,0,True,101.3,rejected,income insufficient relative to requested amount,completed,False
APP-012257,CUST-012257,2025-10-18,online,retail_mass,46-55,employed,44591.21,2295.3,0,45251.31,24,0.236,0.3,1,False,1,False,44.1,approved,stable income relative to requested amount,completed,False
APP-006228,CUST-006228,2025-01-01,online,retail_mass,36-45,employed,30719.38,1276.36,0,26695.16,24,0.18,4.3,0,True,0,False,26.7,approved,acceptable debt-to-income ratio,completed,False
APP-009729,CUST-009729,2025-12-27,branch,self_employed,26-35,unknown,76274.69,3742.46,2,101362.64,24,0.253,9.4,0,True,0,False,17.6,approved,acceptable debt-to-income ratio,completed,False
APP-013378,CUST-013378,2025-09-06,online,small_business,46-55,self_employed,101803.95,6171.03,1,84844.63,48,0.299,9.3,0,True,1,False,25.1,approved,clean credit history,completed,False
APP-018498,CUST-018498,2025-04-02,online,retail_mass,46-55,employed,60193.28,4009.14,0,64721.66,60,0.307,0.8,0,True,0,False,19.7,approved,clean credit history,completed,False
APP-018748,CUST-018748,2025-10-21,broker,retail_affluent,65+,retired,30505.27,1447.14,0,36718.96,36,0.262,35.3,0,True,0,False,16.1,approved,acceptable debt-to-income ratio,completed,False
APP-013126,CUST-013126,2025-10-15,online,retail_mass,56-65,unemployed,17345.01,658.06,1,14213.04,84,0.242,22.1,0,True,0,False,20.1,approved,stable income relative to requested amount,completed,False
APP-011640,CUST-011640,2025-10-02,branch,retail_affluent,26-35,employed,73765.81,2655.39,0,36946.17,36,0.131,0.1,0,True,0,False,17.7,approved,stable income relative to requested amount,completed,False
APP-009201,CUST-009201,2025-12-05,mobile_app,retail_affluent,46-55,unemployed,16373.72,557.78,1,17741.86,48,0.295,17.8,1,True,0,False,19.2,rejected,previous credit default on record,completed,False
APP-012506,CUST-012506,2025-06-19,mobile_app,self_employed,36-45,self_employed,36941.03,1104.24,2,48538.72,48,0.179,8.0,0,True,0,False,9.9,approved,acceptable debt-to-income ratio,completed,False
APP-003984,CUST-003984,2026-04-13,phone,retail_affluent,46-55,employed,147015.79,8947.67,5,188011.85,84,0.34,8.4,0,False,6,False,57.9,approved,stable income relative to requested amount,completed,False
APP-006252,CUST-006252,2025-05-29,mobile_app,retail_mass,26-35,employed,32947.17,2074.65,0,33601.89,84,0.269,6.5,0,True,0,False,26.5,approved,clean credit history,completed,False
APP-007592,CUST-007592,2025-10-23,online,retail_mass,46-55,employed,70934.07,2983.07,1,33851.6,60,0.237,6.2,0,True,0,False,12.0,approved,acceptable debt-to-income ratio,completed,False
APP-019545,CUST-019545,2026-01-28,branch,small_business,36-45,self_employed,22368.16,824.06,0,27608.02,48,0.172,2.3,0,True,0,False,21.7,approved,stable income relative to requested amount,completed,False
APP-002534,CUST-002534,2026-03-13,online,retail_mass,36-45,employed,48366.56,2973.19,1,51114.34,48,0.295,14.9,0,True,1,False,11.6,approved,stable income relative to requested amount,completed,False
APP-013587,CUST-013587,2025-11-13,mobile_app,small_business,56-65,self_employed,49806.09,3485.55,1,134881.25,48,0.39,18.6,1,True,0,False,20.0,approved,acceptable debt-to-income ratio,completed,False
APP-017017,CUST-017017,2026-05-31,branch,self_employed,26-35,self_employed,54535.78,2898.01,0,78083.92,120,0.228,0.5,1,True,0,False,8.0,rejected,previous credit default on record,completed,False
APP-016840,CUST-016840,2025-05-05,online,self_employed,46-55,self_employed,42538.03,2274.29,2,23019.06,48,0.342,9.9,0,True,0,False,19.5,approved,clean credit history,completed,False
APP-010158,CUST-010158,2026-05-14,online,retail_mass,26-35,employed,53891.15,3638.36,3,56109.41,60,0.435,0.0,0,True,0,False,12.1,approved,clean credit history,completed,False
APP-017005,CUST-017005,2025-03-28,online,retail_mass,26-35,employed,38753.97,1587.49,0,35982.66,60,0.237,1.0,0,False,3,True,126.6,approved,clean credit history,completed,False
APP-006705,CUST-006705,2025-01-20,mobile_app,retail_mass,56-65,employed,73179.86,4390.3,2,76347.39,84,0.306,23.0,0,True,0,False,22.5,approved,acceptable debt-to-income ratio,completed,False
APP-000218,CUST-000218,2025-08-31,online,retail_mass,46-55,employed,24222.48,1236.14,0,28333.04,24,0.272,4.9,0,True,0,False,12.1,,customer withdrew before a decision was reached,withdrawn,False
APP-013733,CUST-013733,2025-10-09,mobile_app,retail_mass,36-45,employed,27785.65,958.51,0,26457.94,36,0.14,14.2,0,False,4,False,60.4,approved,acceptable debt-to-income ratio,completed,False
APP-012831,CUST-012831,2025-03-26,branch,retail_mass,26-35,employed,27932.76,856.25,1,10023.61,24,0.199,10.1,0,True,0,False,26.0,approved,stable income relative to requested amount,completed,False
